Mix_Level	Parent_ID	Option_ID	Share	Selection_Path	Active	Sort_Order	Notes
ROLE	nonmagic	compact_value	0.25		1	1.0	Current M2 role share
ROLE	nonmagic	complex_value	0.25		1	2.0	Current M2 role share
ROLE	nonmagic	useful	0.3	useful	1	3.0	Current M2 role share
ROLE	nonmagic	flavor	0.2	flavor	1	4.0	Current M2 role share
FORM	compact_value	Coinage	0.3333333333333333	coinage	1	1.0	Current M2 equal compact form share
FORM	compact_value	Gemstone	0.3333333333333333	carrier	1	2.0	Current M2 equal compact form share
FORM	compact_value	Ingot	0.3333333333333333	carrier	1	3.0	Current M2 equal compact form share
FORM	complex_value	Bulk_Good	0.5	carrier	1	1.0	Current M2 complex form share
FORM	complex_value	Compact_Good	0.1	carrier	1	2.0	Current M2 complex form share
FORM	complex_value	Art_Object	0.1	carrier	1	3.0	Current M2 complex form share
FORM	complex_value	Adorned	0.1	adorned	1	4.0	Current M2 complex form share
FORM	complex_value	Livestock	0.1	carrier	1	5.0	Current M2 complex form share
FORM	complex_value	Clothing	0.1	carrier	1	6.0	Current M2 complex form share
