Modifier_ID	Modifier_Kind	Name	Loot_Type	Text_Template	Details	Component_Type	Min_Qty	Max_Qty	Flat_Value_CP	Active	Source_Row
modifier:modular:engraved	modular	Engraved	all	Engraved {item}		none	0.0	0.0	1000.0	1	2.0
modifier:modular:ornate	modular	Ornate	all	Ornate {item}		none	0.0	0.0	1500.0	1	3.0
modifier:modular:silvered	modular	Silvered	all	Silvered {item}		none	0.0	0.0	10000.0	1	4.0
modifier:modular:gold-inlaid	modular	Gold-inlaid	all	Gold-inlaid {item}		none	0.0	0.0	25000.0	1	5.0
modifier:modular:gem-set	modular	Gem-set	all	{item} set with {qty}x {component}		gem	1.0	5.0	0.0	1	6.0
modifier:modular:jeweled	modular	Jeweled	all	Jeweled {item} set with {qty}x {component}		gem	1.0	3.0	0.0	1	7.0
modifier:modular:ivory-inlaid	modular	Ivory-inlaid	all	Ivory-inlaid {item}		none	0.0	0.0	20000.0	1	8.0
modifier:modular:silk-lined	modular	Silk-lined	all	Silk-lined {item}		none	0.0	0.0	5000.0	1	9.0
modifier:modular:embroidered	modular	Embroidered	all	Embroidered {item}		none	0.0	0.0	1500.0	1	10.0
modifier:modular:celestial-motif	modular	Celestial motif	all	{item} with celestial motifs		none	0.0	0.0	1500.0	1	11.0
modifier:modular:serpent-motif	modular	Serpent motif	all	{item} with serpent motifs		none	0.0	0.0	1500.0	1	12.0
modifier:modular:dwarven-runes	modular	Dwarven runes	all	{item} marked with dwarven runes		none	0.0	0.0	1500.0	1	13.0
modifier:modular:elven-vinework	modular	Elven vinework	all	{item} decorated with elven vinework		none	0.0	0.0	1500.0	1	14.0
modifier:modular:velvet-case	modular	Velvet case	all	{item} in a velvet-lined case		none	0.0	0.0	3000.0	1	15.0
modifier:modular:lacquered-case	modular	Lacquered case	all	{item} in a lacquered case		none	0.0	0.0	2500.0	1	16.0
modifier:modular:silver-fittings	modular	Silver fittings	all	{item} with silver fittings		none	0.0	0.0	10000.0	1	17.0
modifier:modular:gilded	modular	Gilded	all	Gilded {item}		none	0.0	0.0	15000.0	1	18.0
modifier:modular:gem-centered	modular	Gem-centered	all	{item} centered with {qty}x {component}		gem	1.0	1.0	0.0	1	19.0
modifier:variant:worn	variant	Worn	object	Worn {item}			0.0	0.0	0.0	1	2.0
modifier:variant:well-made	variant	Well-made	object	Well-made {item}			0.0	0.0	500.0	1	3.0
modifier:variant:masterwork	variant	Masterwork	object	Masterwork {item}			0.0	0.0	10000.0	1	4.0
modifier:variant:ceremonial	variant	Ceremonial	object	Ceremonial {item}			0.0	0.0	2500.0	1	5.0
modifier:variant:antique	variant	Antique	object	Antique {item}			0.0	0.0	2000.0	1	6.0
modifier:variant:guild-made	variant	Guild-made	object	Guild-made {item}			0.0	0.0	1500.0	1	7.0
modifier:variant:temple-made	variant	Temple-made	object	Temple-made {item}			0.0	0.0	1500.0	1	8.0
modifier:variant:cultural-style	variant	Cultural style	object	{detail}-style {item}	Dwarven|Elven|Orcish|Imperial|Nomad|Fey|Infernal|Draconic|Giant-crafted|Coastal		0.0	0.0	1500.0	1	9.0
modifier:variant:book-contents	variant	Book Contents	object	{item} containing {detail}	smuggling debts|local tax records|monster sketches|heretical prayers|weathered star charts|battlefield maps|merchant debts|funeral rites|forged contracts|alchemy recipes|genealogies of a minor noble house|notes on ruined watchtowers		0.0	0.0	500.0	1	10.0
