Relation_Type	Source_ID	Target_ID	Active	Sort_Order	Notes
ITEM_CONTAINER	item:object:abacus	container:pouch	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:abacus	container:chest	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:tool-roll	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:chest	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:crate	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alms-box	container:pouch	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alms-box	container:chest	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:pocket	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:pouch	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:chest	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:cart	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:cart	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arrow	container:quiver	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arrow	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:cart	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:cart	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-bullets	container:pouch	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-bullets	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:satchel	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:chest	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:crate	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:ball-bearings-bag-of-1-000	container:pouch	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:ball-bearings-bag-of-1-000	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:cart	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:bundle	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:sack	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:crate	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:pocket	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:pouch	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:chest	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bellows-cannister	container:satchel	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bellows-cannister	container:crate	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:birdpipes	container:satchel	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:birdpipes	container:chest	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:pouch	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:sack	1	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:crate	1	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-pistol	container:weapon-rack	1	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-pistol	container:crate	1	2.0	Migrated from Allowed_Containers
