# Accepted CKJM hotspot baseline.
# Columns: className, WMC, CBO, RFC, LCOM, NPM.
className	wmc	cbo	rfc	lcom	npm
src.domain.creatures.CreaturesApplicationService	15	45	147	97	38
src.domain.dungeon.DungeonApplicationService	23	65	126	237	60
src.domain.encounter.EncounterApplicationService	26	50	152	317	47
src.domain.encounter.application.PrepareEncounterGenerationUseCase	23	53	188	253	51
src.domain.party.PartyApplicationService	26	88	171	301	77
src.view.leftbartabs.catalog.CatalogBinder	31	59	166	463	58
src.view.leftbartabs.dungeoneditor.DungeonEditorControlsView	74	41	182	2409	40
src.view.leftbartabs.dungeoneditor.DungeonEditorViewModel	43	41	143	725	40
src.view.leftbartabs.dungeontravel.DungeonTravelViewModel	28	48	129	242	47
src.view.dropdowns.party.PartyCharacterEditorTopBarView	45	33	133	842	32
src.view.dropdowns.party.PartyTopBarView	64	48	214	1826	47
src.view.dropdowns.party.PartyTopBarViewModel	36	37	142	506	36
src.view.slotcontent.controls.catalog.CatalogControlsView	65	50	257	1930	49
src.view.slotcontent.controls.dungeoncontrol.DungeonLevelOverlayControlsView	34	43	146	481	39
src.view.slotcontent.main.dungeonmap.DungeonMapDisplayModel	45	32	123	946	30
src.view.slotcontent.main.dungeonmap.DungeonMapMainView	97	56	282	4444	54
src.view.statetabs.encounter.EncounterStateBinder	30	59	212	433	58
src.view.statetabs.encounter.EncounterStateView	141	58	386	9654	57
src.view.statetabs.encounter.EncounterStateViewModel	60	48	226	1168	47
